行政区划代码,年份,地区名称,经度,纬度,所属省份,所属城市,行政区域土地面积(平方公里),乡及镇个数(个),乡个数(个),镇个数(个),街道办事处个数(个),村民委员会个数(个),年末总户数(户),乡村户数(户),年末总人口(万人),乡村人口(万人),户籍人口数(万人),年末单位从业人员(人),城镇单位在岗职工人数(人),乡村从业人员数(人),农林牧渔业从业人员数(人),年末第二产业单位从业人员(人),年末第三产业单位从业人员(人),农业机械总动力(万千瓦特),固定电话用户(户),移动电话用户数(户),宽带接入用户数(户),地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),工业增加值(万元),第三产业增加值(万元),农业增加值(万元),牧业增加值(万元),人均地区生产总值(元/人),城镇单位在岗职工平均工资(元),城镇居民人均可支配收入(元),农村居民人均可支配收入(元),地方财政一般预算收入(万元),各项税收(万元),地方财政一般预算支出(万元),城乡居民储蓄存款余额(万元),年末金融机构各项贷款余额(万元),出口额(美元),实际利用外资金额(美元),农作物总播种面积(千公顷),常用耕地面积(公顷),机收面积(公顷),设施农业占地面积(公顷),农用机械总动力(千万瓦),粮食总产量(吨),棉花产量(吨),油料产量(吨),肉类总产量(吨),农林牧渔业总产值(万元),规模以上工业企业数(个),规模以上工业总产值(万元),城镇固定资产投资完成额(万元),全社会固定资产投资(万元),社会消费品零售总额(万元),房地产开发投资(亿元),普通小学学校数(个),普通中学学校数(个),普通小学专任教师数(人),普通中学专任教师数(人),普通小学在校生数(人),普通中学在校学生数(人),中等职业教育学校在校学生数(人),医院、卫生院床位数(床),医院和卫生院卫生人员数_卫生技术人员(人),医院和卫生院卫生人员数_执业医师(人),各种社会福利收养性单位数(个),各种社会福利收养性单位床位数(床),全社会用电量(万千瓦时),城乡居民生活用电量(万千瓦时),废气中氮氧化物排放量(吨),废气中烟尘排放量(吨),工业废气中二氧化硫排放量(吨),艺术表演场馆数_剧场、影剧院(个),公共图书馆总藏量(千册),体育场馆机构数(个)
520112,2019,乌当区,106.750625,26.630845,贵州省,贵阳市,,,,,,,,,26,,22.57,,,75100,,,,,,,,1598500,176400,746100,594100,676000,,,62662,,37302,18802,144900,,337800,,,,,,,,,,,,,,188800,,,,,,,40,16,1380,,24119,,,,,,,,,,,,,,,
520112,2020,乌当区,106.750625,26.630845,贵州省,贵阳市,,,,,,,,,34,,23.11,,,76900,,,,,,,,1725100,190700,814400,624574,720100,,,50746,,39428,20288,145500,,278800,,,,,,,,,,,,,,203914,,,,,,,40,16,1469,,25230,,,,,,,,,,,,,,,
520112,2021,乌当区,106.750625,26.630845,贵州省,贵阳市,,,,,,,,,34,,23.1,,,74315,,,,,,,,1884400,210700,908100,743100,765600,,,55457,,42847,22314,161000,,264000,,,,,,,,,,,,,,225000,,,,,,,40,16,1553,,,,,,,,,,,,,,,,,
520112,2022,乌当区,106.750625,26.630845,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520113,2000,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,16,,16.5,,,39200,,,,,,,,308500,12114,176309,,120077,,,18867,,5350,2651,12334,,13653,,,,,,,,,,23200,,,6974,20400,,,24769,,36200,1,55,17,1154,,18204,,,,,,,,,,,,,,,
520113,2001,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,17,,16.69,,,40900,,,,,,,,359395,12558,203407,,143430,,,21657,,,2789,18588,,19412,,,,,,,,,,22400,,,7346,21600,,,45979,,40500,2,59,17,1179,,18258,,,,,,,,,,,,,,,
520113,2002,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,17,,17.14,,,45600,,,,,,,,397224,13559,221931,,161734,,,23477,,,2943,19495,,22193,,,,,,,,,,15900,,,8130,22600,,,80707,,45900,3,56,17,1088,,18232,,,,,,,,,,,,,,,
520113,2003,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,17,,17.25,,,46800,,,,,,,,444705,14345,249297,,181063,,,25862,,,3170,21989,,22893,,,,,,,,,,20200,,,8035,23200,,,119200,,52100,3,,20,1123,,18432,,,,,,,,,,,,,,,
520113,2004,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,17,,17.38,,,47100,,,,,,,,536311,15916,323930,,196465,,,30978,,,3488,25747,,27345,,,,,,,,,,20900,,,7720,25200,,,168562,,60100,4,59,25,1162,,20958,,,,,,,,,,,,,,,
520113,2005,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,20,,17.59,,,44900,,,,,,,,475781,17248,342748,,115785,,,27203,,9450,3945,30887,,32884,,,,,,,,,,21200,,,8319,27400,,,187497,,69100,4,58,16,1128,,21823,,,,,,,,,,,,,,,
520113,2006,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,21,,17.73,,,52900,,,,,,,,558600,18924,406445,,133231,,,31631,,10600,4336,36604,,42238,,,,,,,,,,19400,,,8430,29600,,,254570,,79300,5,52,15,1176,,22385,,,,,,,,,,,,,,,
520113,2007,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,22,,17.83,,,46200,,,,,,,,629981,19429,454255,,156297,,,35432,,12066,5019,44146,,50915,,,,,,,,,,18540,,,4060,33500,,,344982,,97500,8,48,14,1149,,23203,,,,,,,,,,,,,,,
520113,2008,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,24,,,,,44800,,,,,,,,563092,20240,357688,,185164,,,28310,,13273,5928,34789,,50322,,,,,,,,,,18214,,,4587,33900,,,431692,,128900,9,50,11,1111,,23584,,,,,,,,,,,,,,,
520113,2009,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,25,,,,,46700,,,,,,,,568128,21979,338173,,207976,,,28421,,14572,6558,46419,,64246,,,,,,,,,,18172,,,4659,36100,,,528659,,161200,8,52,11,1150,,24239,,,,,,,,,,,,,,,
520113,2010,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,26,,,,,46900,,,,,,,,636833,23753,348735,323900,264345,,,24731,,16168,7385,61283,,107494,,,,,,,,,,15541,,,4746,38700,,,627149,,189700,12,52,11,1146,,23734,,,,,,,,,,,,,,,
520113,2011,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,27,,20.04,,,47700,,,,,,,,766482,27389,420690,390800,318403,,,28729,,19394,8887,94996,,135605,,,,,,,,,,10268,,,4809,45300,,,1331860,,228400,,53,11,1174,,24053,,,,,,,,,,,,,,,
520113,2012,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,27,,19.48,,,48200,,,,,,,,1018600,32200,571300,502100,415100,,,37724,,,10256,135683,,182267,,,,,,,,,,11147,,,5071,51800,,,2241154,2241200,270000,,53,12,1242,,24384,,,,,,,,,,,,,,,
520113,2013,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,27,,19.51,,,49800,,,,,,,,1220500,36800,661600,583400,522100,,,45270,,22617,11429,177659,,246860,,,,,,,,,,10872,,,5349,58400,,,2984541,2984500,312200,,49,12,1273,,24623,,,,,,,,,,,,,,,
520113,2014,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,27,,19.71,,,50900,,,,,,,,1507500,46700,787200,689300,673600,,,55285,,24508,12833,218671,,285387,,,,,,,,,,11007,,,5407,73800,,,3573608,3573600,384000,,50,12,1338,,25260,,,,,,,,,,,,,,,
520113,2015,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,28,,20.11,,,49900,,,,,,,,1782300,56100,938100,811400,788100,,,64516,,26605,14006,263690,,348530,,,,,,,,,,10253,,,5461,56100,,,3430276,,431600,,49,12,1445,,26219,,,,,,,,,,,,,,,
520113,2016,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,28,,21.6,,,49300,,,,,,,,1951008,59300,1037100,890100,854600,,,69320,,28879,15092,280488,,386074,,,,,,,,,,8861,,,4427,63500,,,4133483,,488100,,46,14,1477,,27274,,,,,,,,,,,,,,,
520113,2017,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,29,,21.9,,,52900,,,,,,,,2201600,63700,1162400,1000300,975500,,,76694,,31507,16511,296800,,401317,,,,,,,,,,,,,,68200,,,,,548100,,46,14,1522,,28733,,,,,,,,,,,,,,,
520113,2018,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,30,,22.62,,,49851,,,,,,,,2315811,67298,1109513,934671,1139000,,,79033,,34358,18071,324777,,446034,,,,,,,,,,,,,,72200,,,,,,,45,16,1648,,30876,,,,,,,,,,,,,,,
520113,2019,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,30,,23.29,,,48700,,,,,,,,2256800,70300,1174500,822200,1012000,,,75604,,37313,19896,334200,,567000,,,,,,,,,,,,,,75200,,,,,,,47,20,1762,,33264,,,,,,,,,,,,,,,
520113,2020,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,46,,24,,,48800,,,,,,,,2367800,75500,1178200,777096,1114100,,,52700,,39402,21428,324200,,525900,,,,,,,,,,,,,,80720,,,,,,,47,21,1853,,34521,,,,,,,,,,,,,,,
520113,2021,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,46,,24,,,49292,,,,,,,,2597800,83100,1332700,950200,1182000,,,56387,,42858,23547,299000,,475000,,,,,,,,,,,,,,89000,,,,,,,48,22,1818,,,,,,,,,,,,,,,,,
520113,2022,白云区,106.623007,26.678562,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520114,2000,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,11,,,,,,,,,,,,,99022,2817,54936,,41269,,,,,,,6516,,5431,,,,,,,,,,2100,,,1363,,,,30452,,,,27,9,591,,10176,,,,,,,,,,,,,,,
520114,2001,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,11,,,,,,,,,,,,,127475,3921,70512,,53042,,,,,,,12528,,12062,,,,,,,,,,2000,,,1389,,,,81205,,81000,,25,10,568,,9514,,,,,,,,,,,,,,,
520114,2002,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,12,,,,,,,,,,,,,151630,4222,86200,,61208,,,,,,,13373,,14103,,,,,,,,,,1000,,,1263,,,,105288,,94353,,35,14,643,,13682,,,,,,,,,,,,,,,
520114,2003,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,12,,,,,,,,,,,,,173937,4751,101150,,68036,,,,,,,15728,,15994,,,,,,,,,,1000,,,1358,,,,147322,,106738,,38,16,700,,14310,,,,,,,,,,,,,,,
520114,2004,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,12,,,,,,,,,,,,,217415,5646,135331,,76438,,,,,,,19067,,19818,,,,,,,,,,1400,,,1552,,,,185080,,123709,,35,7,675,,14970,,,,,,,,,,,,,,,
520114,2005,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,15,,,,,,,,,,,,,240558,6005,134706,,99847,,,,,,,22193,,24086,,,,,,,,,,1600,,,1556,,,,240664,,148087,,36,10,688,,15870,,,,,,,,,,,,,,,
520114,2006,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,16,,,,,,,,,,,,,281841,6667,159049,,116125,,,,,11129,,27535,,35033,,,,,,,,,,1400,,,1590,,,,327060,,170300,,36,10,704,,17624,,,,,,,,,,,,,,,
520114,2007,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,18,,,,,,,,,,,,,336218,7513,191841,,136864,,,,,12638,,34455,,42280,,,,,,,,,,410,,,535,,,,409424,,211249,,31,10,683,,18956,,,,,,,,,,,,,,,
520114,2008,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,19,,,,,,,,,,,,,442825,8066,276576,,158183,,,,,13798,,41692,,52424,,,,,,,,,,1700,,,1021,,,,399172,,256687,,25,17,709,,19184,,,,,,,,,,,,,,,
520114,2009,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,22,,,,,,,,,,,,,513782,7445,313033,,193304,,,,,15008,,47310,,62854,,,,,,,,,,410,,,880,,,,619767,,335212,,29,17,817,,20853,,,,,,,,,,,,,,,
520114,2010,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,25,,,,,,,,,,,,,589969,7745,321617,,260607,,,,,16550,,57317,,76625,,,,,,,,,,2915,,,979,,,,870417,,410685,,29,17,837,,21538,,,,,,,,,,,,,,,
520114,2011,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,26,,16.64,,,,,,,,,,,806261,8863,481915,,315483,,,,,19357,,83148,,102962,,,,,,,,,,1637,,,987,,,,1347574,,493233,,29,16,865,,21949,,,,,,,,,,,,,,,
520114,2012,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,26,,17.35,,,,,,,,,,,1107400,10000,733400,,364000,,,,,,,108152,,140120,,,,,,,,,,1719,,,934,,,,2100164,2100200,627076,,28,16,891,,22081,,,,,,,,,,,,,,,
520114,2013,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520114,2014,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520114,2015,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520114,2016,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520114,2017,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520114,2018,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520114,2019,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520114,2020,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520114,2021,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520114,2022,小河区,106.67026,26.409817,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520115,2000,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520115,2001,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520115,2002,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520115,2003,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520115,2004,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520115,2005,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520115,2006,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520115,2007,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520115,2008,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520115,2009,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520115,2010,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520115,2011,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520115,2012,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520115,2013,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,23,,20.65,,,69200,,,,,,,,1070700,20200,392400,138300,658100,,,48471,,22609,10914,300900,,338000,,,,,,,,,,10541,,,1160,29700,,,3074241,3074200,620800,,,,,,,,,,,,,,,,,,,,,
520115,2014,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,24,,22.2,,,69300,,,,,,,,1318700,24600,475600,175300,818500,,,56871,,24446,12103,373400,,383500,,,,,,,,,,10755,,,1198,39800,,,3564560,3564600,905200,,40,23,1525,,26649,,,,,,,,,,,,,,,
520115,2015,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,25,,24.28,,,69500,,,,,,,,1532300,32200,547000,187800,953100,,,62791,,26561,13242,446500,,473800,,,,,,,,,,10025,,,1253,32200,,,3310099,,1014700,,41,23,1551,,29793,,,,,,,,,,,,,,,
520115,2016,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,27,,26.45,,,68500,,,,,,,,1670100,32700,616700,202700,1020800,,,64323,,28990,14352,428500,,499000,,,,,,,,,,7193,,,1398,36400,,,4011840,,1160500,,44,29,1635,,33119,,,,,,,,,,,,,,,
520115,2017,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,29,,28.7,,,68500,,,,,,,,1891600,35200,707700,227000,1148600,,,67859,,31657,15730,425100,,566700,,,,,,,,,,,,,,39100,,,,,1304400,,42,31,1946,,36976,,,,,,,,,,,,,,,
520115,2018,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,33,,31.3,,,64421,,,,,,,,2070702,35555,764018,241137,1271128,,,67078,,34601,17091,504395,,652455,,,,,,,,,,,,,,39100,,,,,,,47,32,2264,,41832,,,,,,,,,,,,,,,
520115,2019,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,37,,33.65,,,54600,,,,,,,,6024900,40500,985200,368200,4999200,,,172634,,37750,18851,538000,,789900,,,,,,,,,,,,,,43300,,,,,,,47,33,2437,,45794,,,,,,,,,,,,,,,
520115,2020,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,64,,36.38,,,49200,,,,,,,,6535200,44100,1025500,423205,5465600,,,102369,,39713,20359,539100,,749600,,,,,,,,,,,,,,47112,,,,,,,48,35,2614,,49222,,,,,,,,,,,,,,,
520115,2021,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,66,,36.4,,,36449,,,,,,,,7069000,48700,1022400,511800,5997900,,,108896,,43394,22475,580000,,770000,,,,,,,,,,,,,,52000,,,,,,,48,38,2821,,,,,,,,,,,,,,,,,
520115,2022,观山湖区,106.622453,26.60145,贵州省,贵阳市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520121,2000,开阳县,106.965089,27.057764,贵州省,贵阳市,2026,16,,,,188,106051,91044,42,37,42,24110,,216812,170480,,,6,15444,,,144922,42561,65979,,36382,,,3419,,,1994,9839,,14824,46214,59299,,,,26250,,,6,144646,29,22890,24633,65700,31,116574,9652,,37000,0,216,28,2101,,52196,24106,,616,,,10,150,,,,,,,,
520121,2001,开阳县,106.965089,27.057764,贵州省,贵阳市,2026,16,,,,113,106100,92314,41,37,41,20500,,211206,170987,,,6,20871,,,161798,44215,73819,,43764,,,3778,,,2118,11392,,19172,51395,59382,,,,26240,,,6,131393,2,22478,27682,68600,30,121942,35943,,41400,0,199,29,2166,,52139,26111,,594,,,10,135,,,,,,,,
520121,2002,开阳县,106.965089,27.057764,贵州省,贵阳市,2026,16,,,,113,109293,93618,42,37,41.7,22604,22600,208657,155634,,,6,22040,,,186326,47303,90202,,48821,,,4301,9519,,2235,12685,,23370,58978,62579,,,,24180,,,6,98328,,23297,32682,74200,15,59722,24790,50795,46565,0,192,28,2262,,49992,22407,,566,,,10,137,,,,,,,,
520121,2003,开阳县,106.965089,27.057764,贵州省,贵阳市,2026,16,,,,113,119700,95873,42,38,42,22100,31700,208364,152177,,,7,25232,,,208168,52264,100308,,55596,,,4796,10308,,2376,15400,,26000,66100,58600,,,,22693,,,7,119886,,22012,40416,81100,14,64028,28067,76542,52851,0,180,27,2216,,49136,29854,,624,,,11,101,,,,,,,,
520121,2004,开阳县,106.965089,27.057764,贵州省,贵阳市,2026,16,,,,108,119421,96777,42,38,42,21966,22500,210101,142600,,,7,50420,,,247222,59419,127433,,60370,,,5659,14021,,2627,16266,,30188,85595,64969,,,,22693,,,7,132045,,23975,47306,100900,29,214199,124620,113554,60817,1,160,27,2167,,48210,29717,,589,,,11,114,,,,,,,,
520121,2005,开阳县,106.965089,27.057764,贵州省,贵阳市,2026,16,,,,108,119326,98589,42,38,42,37910,22000,207504,137651,,,8,41000,,,303022,64272,160095,,78655,,,6895,17104,,2900,22649,,39053,102999,89216,,,,22693,,,8,131914,,23843,52621,107459,29,321740,101670,148296,71752,1,154,24,2084,,47897,28259,,621,,,14,106,,,,,,,,
520121,2006,开阳县,106.965089,27.057764,贵州省,贵阳市,2026,16,,,,108,125994,97296,42,35,42,37181,22400,206488,116548,,,9,35000,,,356435,69476,195032,,91927,,,8066,20265,,3067,24483,,48753,123300,148200,,,,23139,,,9,124903,1,25358,54796,113750,28,373380,176612,333136,82505,2,140,25,2045,,46225,27637,,693,,,14,106,,,,,,,,
520121,2007,开阳县,106.965089,27.057764,贵州省,贵阳市,2026,16,,,,108,123434,96262,42,36,42,37181,22900,203790,114545,,,11,59000,,,422280,88800,228087,,105393,,,9515,24356,,3689,30300,,60000,149500,217900,,,,23191,,,11,135638,,25603,57099,141694,27,489411,399000,433661,98706,2,127,24,1997,,42270,28643,,1145,,,11,106,,,,,,,,
520121,2008,开阳县,106.965089,27.057764,贵州省,贵阳市,2026,16,,,,108,124951,97039,43,36,42.8,23620,23500,207235,114203,,,11,58460,,,559585,94737,344669,,120179,,,13625,25551,13212,4350,36534,,86865,186949,279554,,,,23191,,,11,140412,,19408,33393,153274,29,809477,489668,540940,123571,2,119,25,1902,,38192,30478,,1145,,,13,106,,,,,,,,
520121,2009,开阳县,106.965089,27.057764,贵州省,贵阳市,2026,16,,,,108,126742,97471,43,36,43,28394,36600,205807,112866,,,14,60921,,,557216,102765,309691,,144760,,,13518,29739,,4808,36534,,85801,214795,374261,,,,23191,,,14,142925,,21094,37559,160664,30,700406,551600,407476,148343,2,114,26,1818,,33950,32440,,1145,,,13,106,,,,,,,,
520121,2010,开阳县,106.965089,27.057764,贵州省,贵阳市,2023,16,,,,108,140140,94861,44,34,44,39687,23700,194253,100883,,,14,60921,,,623234,121512,316022,222700,185700,,,17150,33183,,5393,50090,,122139,234256,450661,,,,23191,,,14,142092,,16178,39619,180600,32,900604,730849,697433,165037,3,96,25,1708,,29434,31663,,1362,,,13,106,,,,,,,,
520121,2011,开阳县,106.965089,27.057764,贵州省,贵阳市,2026,16,,,,108,140362,94778,44,34,43.74,39962,,187745,93633,,,14,60424,,,819314,133314,453254,337700,232746,,,22892,,19314,6781,71139,,141284,315515,532899,,,,23190,,,14,87780,,19747,40077,200400,21,1587153,756000,,198426,,93,24,1545,,25885,31742,,1366,,,1,17,,,,,,,,
520121,2012,开阳县,106.965089,27.057764,贵州省,贵阳市,2026,16,,,,108,144107,95013,44,34,43.86,40012,,191947,95685,,,21,59618,,,1028800,157408,598207,446900,273200,,,28713,,,7860,128024,,233821,364314,622935,,,,,,,21,99580,,19652,42284,236600,35,1885334,1647352,1754900,233090,,70,23,1482,,23061,30008,,1366,,,1,17,,,,,,,,
520121,2013,开阳县,106.965089,27.057764,贵州省,贵阳市,2026,16,8,8,2,,,,43,,44.19,,,187100,,28069,15982,21,42558,,,1260292,175100,739241,558100,346000,107290,63638,34911,,22600,8919,86063,65774,220008,500748,721091,,,,,209,438,21,97932,,19819,44513,269400,38,2532000,1904099,2203200,269126,,66,23,1459,,20940,27964,4178,1031,,,1,17,,,,,,,,
520121,2014,开阳县,106.965089,27.057764,贵州省,贵阳市,2027,16,8,8,2,,,,44,,44.4,,,183200,,30023,16247,23,42012,,,1608900,230300,897100,661600,481500,149908,74913,44260,,23745,10227,102200,187700,233000,558900,841300,,,,,212,467,23,104590,,20145,45880,363000,41,3286461,2089703,2680400,319386,,33,22,1299,,20869,24987,4696,1458,,,8,124,,,,,,,,
520121,2015,开阳县,106.965089,27.057764,贵州省,贵阳市,2027,16,8,8,2,,,,45,,45.02,,,183600,,30064,16484,28,41876,,,1871700,272100,1020905,720100,578700,162427,88909,51085,,26291,11308,116858,91651,296957,600161,827225,,,,,223,482,28,104275,,19956,47708,272100,50,2912556,2556392,2556400,359600,,30,21,1336,,21968,24705,4612,1523,,,8,124,,,,,,,,
520121,2016,开阳县,106.965089,27.057764,贵州省,贵阳市,2026,16,8,8,2,,,,37,,45.16,,,183100,,30273,16532,30,40246,,,2081423,293758,1149323,792800,638300,185209,103736,56065,,28698,12366,249055,135922,304895,754032,944707,,,,,341,501,30,104855,,19842,47997,311500,53,2913819,3112741,3112700,407500,,47,20,1368,,23589,24801,4596,1523,,,8,126,,,,,,,,
520121,2017,开阳县,106.965089,27.057764,贵州省,贵阳市,2026,16,8,8,2,,,,38,,45.26,,,183700,,60794,48320,47,22000,,,2350200,316700,1316900,907200,716600,199869,112305,62157,,31482,13640,248994,196838,317598,761777,1104435,,,,,11666,961,47,,,17259,,335400,63,,,,459200,,47,20,1434,,25419,17373,2449,1790,,,86,2164,,,,,,,,
520121,2018,开阳县,106.965089,27.057764,贵州省,贵阳市,2023,16,8,8,2,,,,38,,45.461,,,179754,,63280,51020,,21900,,,2498715,330648,1349636,905450,818431,,,65266,,34457,15032,119410,,307689,805447,1466922,,,,,,701,,,,16838,,351000,65,,,,,,47,19,1475,,27341,16339,,1800,,,81,1875,,,,,,,,
